"","Station","State","airportCode","Lat","Lon","Elevation","WMO"
"442","Savannah","GA","KSAV",32.13,-81.2,15,72207
"443","Saint Simons Island","GA","KSSI",31.15,-81.38,6,99999
"444","Savannah Hunter","GA","KSVN",32.02,-81.15,13,99999
"445","Valdosta","GA","KVAD",30.97,-83.2,71,74781
"446","Valdosta Regional","GA","KVLD",30.78,-83.28,62,99999
"447","Warner Robins","GA","KWRB",32.63,-83.6,90,99999
"448","Hana","HI","PHHN",20.78,-156.02,24,91190
"449","Wheeler AFB","HI","PHHI",21.47,-158.02,290,91170
"450","Bradshaw AFB","HI","PHSF",19.78,-155.55,1887,99999
"451","Honolulu","HI","PHNL",21.35,-157.93,5,91182
"452","Hilo","HI","PHTO",19.72,-155.07,11,91285
"453","Lahaina","HI","PHJH",21.02,-156.63,40,99999
"454","Keahole Point","HI","PHKO",19.73,-156.05,13,99999
"455","Lihue","HI","PHLI",21.98,-159.35,45,91165
"456","Lanai City","HI","PHNY",20.78,-156.95,399,99999
"457","Molokai","HI","PHMK",21.15,-157.1,137,91186
"458","Kahului","HI","PHOG",20.9,-156.43,20,91190
"459","Oahu Kalaeola","HI","PHJR",21.32,-158.07,15,91178
"460","Kaneohe MCBH","HI","PHNG",21.45,-157.77,3,91176
"461","Harlan","IA","KHNR",41.58,-95.34,375,99999
"462","Audubon","IA","KADU",41.7,-94.92,392,99999
"463","Atlantic","IA","KAIO",41.4,-95.05,347,99999
"464","Waterloo","IA","KALO",42.55,-92.4,268,72548
"465","Washington","IA","KAWG",41.28,-91.67,226,99999
"466","Algona","IA","KAXA",43.08,-94.27,364,99999
"467","Ames","IA","KAMW",41.99,-93.62,376,99999
"468","Ankeny","IA","KIKV",41.68,-93.57,277,99999
"469","Boone","IA","KBNW",42.06,-93.86,345,99999
"470","Burlington","IA","KBRL",40.78,-91.13,213,99999
"471","Clarion","IA","KCAV",42.75,-93.77,345,99999
"472","Council Bluffs","IA","KCBF",41.27,-95.77,373,99999
"473","Charles City","IA","KCCY",43.08,-92.62,342,99999
"474","Cedar Rapids","IA","KCID",41.88,-91.7,265,72545
"475","Carroll","IA","KCIN",42.05,-94.78,360,99999
"476","Chariton","IA","KCNC",41.02,-93.37,315,99999
"477","Creston","IA","KCSQ",41.02,-94.36,395,99999
"478","Clinton","IA","KCWI",41.83,-90.33,216,99999
"479","Dubuque","IA","KDBQ",42.4,-90.7,329,72547
"480","Decorah","IA","KDEH",43.28,-91.73,353,99999
"481","Denison","IA","KDNS",41.98,-95.38,381,99999
"482","Des Moines","IA","KDSM",41.53,-93.65,294,72546
"483","Davenport","IA","KDVN",41.62,-90.58,228,99999
"484","Webster City","IA","KEBS",42.44,-93.87,339,99999
"485","Keokuk","IA","KEOK",40.47,-91.43,202,99999
"486","Estherville","IA","KEST",43.4,-94.75,401,99999
"487","Fairfield","IA","KFFL",41.05,-91.98,240,99999
"488","Fort Dodge","IA","KFOD",42.55,-94.18,355,72549
"489","Fort Madison","IA","KFSW",40.67,-91.33,221,99999
"490","Clarinda","IA","KICL",40.71,-95.03,294,99999
"491","Iowa City","IA","KIOW",41.63,-91.55,204,99999
"492","Lamoni","IA","KLWD",40.63,-93.9,345,99999
"493","Le Mars","IA","KLRJ",42.78,-96.2,359,99999
"494","Mason City","IA","KMCW",43.15,-93.33,370,99999
"495","Marshalltown","IA","KMIW",42.11,-92.91,297,99999
"496","Muscatine","IA","KMUT",41.37,-91.13,164,99999
"497","Monticello","IA","KMXO",42.23,-91.17,252,99999
"498","Oelwein","IA","KOLZ",42.68,-91.98,324,99999
"499","Orange City","IA","KORC",43,-96.08,424,99999
"500","Ottumwa","IA","KOTM",41.1,-92.45,258,99999
"501","Knoxville","IA","KOXV",41.3,-93.12,278,99999
"502","Red Oak","IA","KRDK",41.01,-95.26,318,99999
"503","Shenandoah","IA","KSDA",40.75,-95.42,585,99999
"504","Sheldon","IA","KSHL",43.21,-95.83,434,99999
"505","Spencer","IA","KSPW",43.17,-95.2,517,99999
"506","Storm Lake","IA","KSLB",42.61,-95.24,452,99999
"507","Sioux City","IA","KSUX",42.4,-96.38,336,72557
"508","Newton","IA","KTNU",41.67,-93.02,283,99999
"509","Malta","ID","K77M",42.32,-113.33,1375,99999
"510","Boise","ID","KBOI",43.57,-116.22,874,72681
"511","Burley","ID","KBYI",42.55,-113.77,1265,99999
"512","Coeur d'Alene","ID","KCOE",47.77,-116.82,707,99999
"513","Caldwell","ID","KEUL",43.63,-116.63,740,99999
"514","Idaho Falls","ID","KIDA",43.52,-112.07,1445,99999
"515","Jerome","ID","KJER",42.73,-114.46,1234,99999
"516","Lewiston","ID","KLWS",46.38,-117.02,438,72783
"517","Malad City","ID","KMLD",42.17,-112.3,1373,99999
"518","Mullan Pass","ID","KMLP",47.45,-115.68,1837,99999
"519","Mountain Home","ID","KMUO",43.05,-115.87,913,99999
"520","McCall","ID","KMYL",44.88,-116.1,1531,99999
"521","Lowell","ID","KP69",45.82,-115.43,1249,99999
"522","Pocatello","ID","KPIH",42.92,-112.6,1365,72578
"523","Spencer","ID","KS14",44.35,-112.18,1800,99999
"524","Salmon","ID","KSMN",45.12,-113.88,1233,99999
"525","Hailey","ID","KSUN",43.5,-114.3,1620,99999
"526","Twin Falls","ID","KTWF",42.48,-114.48,1265,99999
"527","Challis","ID","KLLJ",44.52,-114.22,1546,99999
"528","Rexburg","ID","KRXE",43.83,-111.81,1481,99999
"529","Soda Springs","ID","KU78",42.65,-111.58,1780,99999
"530","Stanley","ID","KSNT",44.21,-114.93,1951,99999
"531","Alton","IL","KALN",38.9,-90.05,166,99999
"532","Aurora","IL","KARR",41.77,-88.47,215,99999
"533","Belleville","IL","KBLV",38.55,-89.85,138,99999
"534","Bloomington","IL","KBMI",40.48,-88.92,267,99999
"535","Champaign","IL","KCMI",40.03,-88.28,230,99999
"536","Cahokia","IL","KCPS",38.57,-90.15,126,99999
"537","Decatur","IL","KDEC",39.83,-88.87,208,99999
"538","Chicago DuPage","IL","KDPA",41.92,-88.25,231,99999
"539","Chicago Meigs","IL","KCGX",41.87,-87.6,181,99999
"540","Lawrenceville","IL","KLWV",38.76,-87.61,169,99999
"541","Carbondale","IL","KMDH",37.78,-89.25,125,99999
"542","Chicago Midway","IL","KMDW",41.78,-87.75,190,72534
"543","Moline","IL","KMLI",41.45,-90.52,181,72544
"544","Marseilles","IL","KMMO",41.37,-88.68,225,74460
"545","Mount Vernon","IL","KMVN",38.32,-88.87,146,99999
"546","Mattoon","IL","KMTO",39.48,-88.28,220,99999
"547","Marion Regional","IL","KMWA",37.75,-89.02,144,99999
"548","Chicago","IL","KORD",41.98,-87.9,205,72530
"549","Peoria Regional","IL","KPIA",40.67,-89.68,202,72532
"550","Chicago Palwauk","IL","KPWK",42.12,-87.92,197,99999
"551","Rockford","IL","KRFD",42.2,-89.1,226,72543
"552","Springfield","IL","KSPI",39.85,-89.67,187,72439
"553","Sterling","IL","KSQI",41.75,-89.67,197,99999
"554","Waukegan","IL","KUGN",42.42,-87.87,222,99999
"555","Quincy","IL","KUIN",39.95,-91.2,234,99999
"556","Anderson","IN","KAID",40.12,-85.62,280,99999
"557","Columbus","IN","KBAK",39.27,-85.9,200,99999
"558","Bloomington","IN","KBMG",39.15,-86.62,258,99999
"559","Elkhart","IN","KEKM",41.72,-86,237,99999
"560","Evansville","IN","KEVV",38.05,-87.53,118,72432
"561","Eagle Creek","IN","KEYE",39.8,-86.1,250,99999
"562","Fort Wayne","IN","KFWA",41,-85.2,252,72533
"563","Peru","IN","KGUS",40.65,-86.15,247,99999
"564","Gary","IN","KGYY",41.62,-87.42,180,99999
"565","Goshen","IN","KGSH",41.53,-85.79,252,99999
"566","Huntingburg","IN","KHNB",38.25,-86.95,161,99999
"567","Terre Haute","IN","KHUF",39.45,-87.32,178,99999
"568","Indianapolis","IN","KIND",39.73,-86.27,246,72438
"569","Lafayette","IN","KLAF",40.42,-86.93,185,99999
"570","Muncie","IN","KMIE",40.25,-85.4,286,99999
"571","Shelbyville","IN","KGEZ",39.58,-85.8,245,99999
"572","South Bend","IN","KSBN",41.7,-86.32,236,72535
"573","Valparaiso","IN","KVPZ",41.45,-87.01,235,99999
"574","Wichita Jabara","KS","KAAO",37.75,-97.22,433,99999
"575","Coffeyville","KS","KCFV",37.08,-95.57,225,99999
"576","Concordia","KS","KCNK",39.55,-97.65,452,72458
"577","Chanute","KS","KCNU",37.67,-95.48,305,99999
"578","Dodge City","KS","KDDC",37.77,-99.97,790,72451
"579","Elkhart","KS","KEHA",37,-101.9,1099,99999
"580","Emporia","KS","KEMP",38.33,-96.18,368,99999
"581","Newton","KS","KEWK",38.05,-97.28,467,99999
"582","Topeka Forbes","KS","KFOE",38.95,-95.67,329,99999
"583","Ft Riley","KS","KFRI",39.05,-96.77,325,72455
"584","Great Bend","KS","KGBD",38.35,-98.87,575,99999
"585","Garden City","KS","KGCK",37.93,-100.72,881,99999
"586","Goodland","KS","KGLD",39.37,-101.7,1124,72465
"587","Hill City","KS","KHLC",39.38,-99.83,678,99999
"588","Hutchinson","KS","KHUT",38.07,-97.87,470,99999
"589","Hays","KS","KHYS",38.85,-99.27,609,99999
"590","McConnell AFB","KS","KIAB",37.62,-97.27,418,99999
"591","Wichita","KS","KICT",37.65,-97.43,408,72450
"592","Olathe New Century","KS","KIXD",38.83,-94.88,331,99999
"593","Liberal","KS","KLBL",37.05,-100.97,879,99999
"594","Lawrence","KS","KLWC",39.02,-95.22,253,99999
"595","Manhattan","KS","KMHK",39.13,-96.67,322,99999
"596","Olathe","KS","KOJC",38.85,-94.73,334,99999
"597","Medicine Lodge","KS","KP28",37.3,-98.58,468,72452
"598","Parsons","KS","KPPF",37.33,-95.52,274,72451
"599","Russell","KS","KRSL",38.87,-98.82,568,99999
"600","Salina","KS","KSLN",38.8,-97.65,388,99999
"601","Topeka","KS","KTOP",39.07,-95.62,270,72456
"602","Winfield","KS","KWLD",37.3,-97,9999,99999
"603","Bowling Green","KY","KBWG",36.97,-86.42,167,99999
"604","Covington","KY","KCVG",39.05,-84.67,267,72421
"605","Henderson City","KY","KEHR",37.82,-87.68,117,99999
"606","Frankfort","KY","KFFT",38.25,-84.9,9999,99999
"607","Fort Knox","KY","KFTK",37.9,-85.97,230,72424
"608","Fort Campbell","KY","KHOP",36.67,-87.5,174,74671
"609","Jackson","KY","KJKL",37.6,-83.32,421,99999
"610","Lexington","KY","KLEX",38.03,-84.6,301,72422
"611","Louisville Bowman","KY","KLOU",38.23,-85.67,167,99999
"612","London-Corbin","KY","KLOZ",37.08,-84.08,369,99999
"613","Owensboro","KY","KOWB",37.73,-87.17,124,99999
"614","Paducah","KY","KPAH",37.07,-88.77,126,72435
"615","Louisville","KY","KSDF",38.18,-85.73,149,72423
"616","Somerset","KY","KSME",38,-84.6,283,99999
"617","Natchitoches","LA","KIER",31.74,-93.1,37,99999
"618","Ruston","LA","KRSN",32.52,-92.58,95,99999
"619","Green Canyon 184","LA","KXCN",27.77,-91.52,5,99999
"620","High Island","LA","KH08",28.1,-94.4,30,99999
"621","Venice","LA","K1B7",29.35,-89.43,2,99999
"622","Boothville","LA","KBVE",29.33,-89.4,2,72232
"623","Amelia","LA","K7R3",29.7,-91.1,2,99999
"624","Intracoastal City","LA","K7R4",29.78,-92.13,5,99999
"625","Cameron","LA","K7R5",29.78,-93.3,1,99999
"626","South Marsh Island","LA","K7R8",28.3,-91.98,1,99999
"627","South Marsh Island 268","LA","KSRN",29.07,-91.87,1,99999
"628","Fourchon","LA","K9F2",29.1,-90.2,2,99999
"629","Alexandria","LA","KAEX",31.33,-92.55,27,74754
"630","New Iberia","LA","KARA",30.03,-91.88,7,99999
"631","Grand Isle","LA","KAXO",29.25,-89.97,2,99999
"632","Barksdale AFB","LA","KBAD",32.5,-93.67,51,99999
"633","Baton Rouge","LA","KBTR",30.53,-91.15,21,99999
"634","Shreveport Downtown","LA","KDTN",32.53,-93.75,55,99999
"635","Alexandria Esle","LA","KESF",31.4,-92.3,34,99999
"636","Houma","LA","KHUM",29.57,-90.67,3,99999
"637","Lake Charles Regional","LA","KLCH",30.12,-93.22,10,72240
"638","Lake Charles","LA","KCWF",30.21,-93.14,5,99999
"639","Lafayette","LA","KLFT",30.2,-91.98,13,99999
"640","Monroe","LA","KMLU",32.52,-92.03,24,99999
"641","New Orleans","LA","KMSY",29.98,-90.25,9,72231
"642","New Orleans NAS","LA","KNBG",29.83,-90.03,0,99999
"643","New Orleans Lakefront","LA","KNEW",30.05,-90.03,3,99999
"644","Salt Point","LA","KP92",29.6,-91.3,3,99999
"645","Fort Polk","LA","KPOE",31.05,-93.03,100,72239
"646","Patterson","LA","KPTN",29.72,-91.33,3,99999
"647","Slidell","LA","KASD",30.34,-89.82,9,99999
"648","South Timbalier","LA","KS58",28.53,-90.58,1,99999
"649","Shreveport","LA","KSHV",32.47,-93.82,79,72248
"650","Pittsfield","MA","KPSF",42.43,-73.29,355,99999
"651","Nantucket","MA","KACK",41.25,-70.07,15,99999
"652","North Adams","MA","KAQW",42.7,-73.17,201,99999
"653","Fitchburg","MA","KFIT",42.55,-71.76,106,99999
"654","Westfield","MA","KBAF",42.15,-72.72,83,99999
"655","Bedford","MA","KBED",42.47,-71.28,41,74490
"656","Boston","MA","KBOS",42.37,-71.03,9,72509
"657","Taunton","MA","KTAN",41.87,-71.02,13,99999
"658","Beverly","MA","KBVY",42.58,-70.92,33,99999
"659","Chicopee","MA","KCEF",42.2,-72.53,75,74491
"660","Chatham","MA","KCQX",41.68,-70,19,99999
"661","New Bedford","MA","KEWB",41.68,-70.97,24,99999
"662","Otis AFB","MA","KFMH",41.65,-70.52,40,72506
"663","Hyannis","MA","KHYA",41.67,-70.28,16,99999
"664","Lawrence","MA","KLWM",42.72,-71.12,45,99999
"665","Martha's Vineyard","MA","KMVY",41.4,-70.62,21,99999
"666","Orange","MA","KORE",42.57,-72.27,164,99999
"667","Worcester","MA","KORH",42.27,-71.88,308,99999
"668","Norwood","MA","KOWD",42.18,-71.18,15,99999
"669","Provincetown","MA","KPVC",42.07,-70.22,2,99999
"670","Plymouth","MA","KPYM",41.92,-70.73,45,99999
"671","East Milton","MA","KMQE",42.21,-71.11,199,99999
"672","Ocean City","MD","KOXB",38.31,-75.12,3,99999
"673","Maryland Science Center","MD","KDMH",39.28,-76.61,19,99999
"674","Andrews AFB","MD","KADW",38.82,-76.87,86,74594
"675","Phillips Army Airfield","MD","KAPG",39.47,-76.17,18,99999
"676","Baltimore","MD","KBWI",39.18,-76.67,47,72406
"677","Hagerstown","MD","KHGR",39.7,-77.73,215,99999
"678","Baltimore Martin","MD","KMTN",39.33,-76.42,7,99999
"679","Patuxent River","MD","KNHK",38.28,-76.4,12,72404
"680","Salisbury","MD","KSBY",38.33,-75.52,16,99999
"681","Greenville","ME","KGNR",45.47,-69.58,316,72619
"682","Augusta","ME","KAUG",44.32,-69.8,107,99999
"683","Bangor","ME","KBGR",44.8,-68.83,59,99999
"684","Bar Harbor","ME","KBHB",44.45,-68.37,26,99999
"685","Caribou","ME","KCAR",46.87,-68.02,190,72712
"686","Clayton Lake","ME","K40B",46.61,-69.53,314,99999
"687","Frenchville","ME","KFVE",47.28,-68.32,301,99999
"688","Houlton","ME","KHUL",46.12,-67.8,150,99999
"689","Wiscasset","ME","KIWI",43.97,-69.72,41,99999
"690","Fryeburg","ME","KIZG",44.05,-70.95,9999,99999
"691","Auburn-Lewiston","ME","KLEW",44.05,-70.28,88,99999
"692","Millinocket","ME","KMLT",45.65,-68.68,124,99999
"693","Brunswick","ME","KNHZ",43.88,-69.93,23,74392
"694","Presque Isle","ME","KPQI",46.68,-68.05,146,72713
"695","Portland","ME","KPWM",43.65,-70.32,19,72606
"696","Rockland","ME","KRKD",44.07,-69.1,17,99999
"697","Sanford","ME","KSFM",43.4,-70.72,74,99999
"698","Waterville","ME","KWVL",44.53,-69.68,101,99999
"699","Charlevoix","MI","KCVX",45.3,-85.27,204,99999
"700","Mount Pleasant","MI","KMOP",43.62,-84.74,230,99999
"701","Ludington","MI","KLDM",43.96,-86.41,197,99999
"702","Manistique","MI","KISQ",45.97,-86.17,209,99999
"703","Bellaire","MI","KACB",44.99,-85.2,190,99999
"704","Adrian","MI","KADG",41.87,-84.07,243,99999
"705","Big Rapids","MI","KRQB",43.72,-85.5,302,99999
"706","Alma","MI","KAMN",43.32,-84.69,230,99999
"707","Grosse Ile","MI","KONZ",42.1,-83.16,180,99999
"708","Mason","MI","KTEW",42.57,-84.42,280,99999
"709","Monroe","MI","KTTF",41.94,-83.43,188,99999
"710","Sturgis","MI","KIRS",41.81,-85.44,282,99999
"711","Alpena","MI","KAPN",45.07,-83.57,211,72639
"712","Ann Arbor","MI","KARB",42.22,-83.75,256,99999
"713","Kalamazoo","MI","KAZO",42.23,-85.55,266,99999
"714","Bad Axe","MI","KBAX",43.78,-82.99,233,99999
"715","Benton Harbor","MI","KBEH",42.13,-86.43,196,99999
"716","Battle Creek","MI","KBTL",42.3,-85.25,290,99999
"717","Cadillac","MI","KCAD",44.28,-85.42,398,99999
"718","Chippewa","MI","KCIU",46.25,-84.47,244,99999
"719","Coldwater","MI","KOEB",41.93,-85.05,292,99999
"720","Holland","MI","KBIV",42.74,-86.11,210,99999
"721","Houghton","MI","KCMX",47.17,-88.5,329,72744
"722","Detroit","MI","KDET",42.42,-83.02,191,99999
"723","Detroit Metro","MI","KDTW",42.23,-83.33,202,72537
"724","Escanaba","MI","KESC",45.75,-87.03,187,72648
"725","Flint","MI","KFNT",42.97,-83.75,233,72637
"726","Grand Rapids","MI","KGRR",42.88,-85.52,245,72635
"727","Hillsdale","MI","KJYM",41.92,-84.59,360,99999
"728","Houghton Lake","MI","KHTL",44.37,-84.68,351,72638
"729","Iron Mountain","MI","KIMT",45.82,-88.12,360,99999
"730","Ironwood","MI","KIWD",46.53,-90.13,375,99999
"731","Jackson","MI","KJXN",42.27,-84.47,305,99999
"732","Lansing","MI","KLAN",42.77,-84.6,266,72539
"733","Manistee","MI","KMBL",44.27,-86.25,189,99999
"734","Marshall","MI","KRMY",42.25,-84.96,287,99999
"735","Saginaw","MI","KMBS",43.53,-84.08,204,99999
"736","Saginaw Browne","MI","KHYX",43.43,-83.87,183,99999
"737","Muskegon","MI","KMKG",43.17,-86.25,193,72636
"738","Menominee","MI","KMNM",45.13,-87.63,191,99999
"739","Marquette","MI","KMQT",46.53,-87.55,434,72743
"740","Newberry","MI","KERY",46.31,-85.46,265,99999
"741","Mt. Clemens","MI","KMTC",43.62,-82.83,177,99999
"742","Wurtsmith AFB","MI","KOSC",44.45,-83.4,193,99999
"743","Howell","MI","KOZW",42.63,-83.98,378,99999
"744","Port Hope","MI","KP58",44.02,-82.8,183,99999
"745","Copper Harbor","MI","KP59",47.45,-87.9,186,99999
"746","Seul Choix Pt","MI","KP75",45.92,-85.92,180,99999
"747","Gaylord","MI","KGLR",45.01,-84.7,405,99999
"748","Pellston","MI","KPLN",45.57,-84.8,219,99999
"749","Pontiac","MI","KPTK",42.67,-83.42,299,99999
"750","Port Huron","MI","KPHN",42.91,-82.53,198,99999
"751","Gwinn","MI","KSAW",46.35,-87.4,372,99999
"752","Traverse City","MI","KTVC",44.73,-85.58,190,99999
"753","Sault Ste Marie","MI","KANJ",46.47,-84.37,221,72734
"754","Mackinac Island","MI","KMCD",45.9,-84.6,320,99999
"755","Ypsilanti","MI","KYIP",42.23,-83.53,218,99999
"756","Wadena","MN","KADC",46.45,-95.21,418,99999
"757","Moose Lake","MN","KMZH",46.42,-92.8,328,99999
"758","Moorhead","MN","KJKJ",46.84,-96.66,279,99999
"759","Longville","MN","KXVG",46.99,-94.2,407,99999
"760","Waskish","MN","KVWU",48.15,-94.52,360,99999
"761","Rush City","MN","KROS",45.7,-92.95,281,99999
"762","Maple Lake","MN","KMGG",45.24,-93.99,313,99999
"763","Appleton","MN","KAQP",45.23,-96,311,99999
"764","Grand Marais","MN","KGNA",47.75,-90.34,185,99999
"765","Grand Marais Airport","MN","KCKC",47.84,-90.38,548,99999
"766","Hallock","MN","KHCO",48.75,-96.94,250,99999
"767","Bigfork","MN","KFOZ",47.78,-93.65,411,99999
"768","Cook","MN","KCQM",47.82,-92.69,404,99999
"769","Mora","MN","KJMR",45.89,-93.27,308,99999
"770","St. James","MN","KJYG",43.99,-94.56,325,99999
"771","Litchfield","MN","KLJF",45.1,-94.51,347,99999
"772","Ortonville","MN","KVVV",45.31,-96.42,335,99999
"773","Pine River","MN","KPWC",46.75,-94.38,395,99999
"774","Princeton","MN","KPNM",45.56,-93.61,298,99999
"775","Staples","MN","KSAZ",46.38,-94.81,392,99999
"776","Warroad","MN","KRRT",48.94,-95.35,327,99999
"777","Windom","MN","KMWM",43.91,-95.11,430,99999
"778","South St. Paul","MN","KSGS",44.86,-93.03,323,99999
"779","Crane Lake","MN","KCDD",48.27,-92.48,341,99999
"780","Albert Lea","MN","KAEL",43.68,-93.37,383,99999
"781","Aitkin","MN","KAIT",46.55,-93.68,367,99999
"782","Anoka County","MN","KANE",45.15,-93.22,278,99999
"783","Orr","MN","KORB",48.02,-92.86,400,99999
"784","Benson","MN","KBBB",45.33,-96.65,317,99999
"785","Austin","MN","KAUM",43.67,-92.93,375,99999
"786","Alexandria","MN","KAXN",45.87,-95.4,434,99999
"787","Baudette","MN","KBDE",48.73,-94.62,330,99999
"788","Silver Bay","MN","KBFW",47.2,-91.4,331,99999
"789","Bemidji","MN","KBJI",47.5,-94.93,420,72755
"790","Brainerd","MN","KBRD",46.4,-94.13,374,99999
"791","Cambridge","MN","KCBG",45.57,-93.27,287,99999
"792","Crookston","MN","KCKN",47.85,-96.62,273,99999
"793","Cloquet","MN","KCOQ",46.7,-92.5,390,99999
"794","Duluth","MN","KDLH",46.83,-92.18,432,72745
"795","Detroit Lakes","MN","KDTL",46.83,-95.88,426,99999
"796","Dodge Center","MN","KTOB",44.02,-92.83,398,99999
"797","Ely","MN","KELO",47.82,-91.83,443,99999
"798","Flag Island","MN","KFGN",49.32,-94.9,444,99999
"799","Wheaton NDB","MN","KETH",45.7,-96.5,313,99999
"800","Eveleth","MN","KEVM",47.4,-92.5,421,99999
"801","Faribault","MN","KFBL",44.33,-93.32,322,99999
"802","Glenwood","MN","KGHW",45.64,-95.32,425,99999
"803","Glencoe","MN","KGYL",44.76,-94.08,302,99999
"804","Minneapolis Flying Cloud","MN","KFCM",44.83,-93.45,276,99999
"805","Fergus Falls","MN","KFFM",46.28,-96.15,361,72656
"806","Fairmont","MN","KFRM",43.65,-94.42,354,99999
"807","Fosston","MN","KFSE",45.5,-95.7,388,99999
"808","Grand Rapids","MN","KGPZ",47.22,-93.52,413,99999
"809","Hutchinson","MN","KHCD",44.87,-94.38,323,99999
"810","Hibbing","MN","KHIB",47.38,-92.83,412,99999
"811","Willmar","MN","KILL",45.12,-95.08,344,99999
"812","International Falls","MN","KINL",48.57,-93.38,361,72747
"813","Little Falls","MN","KLXL",45.95,-94.35,342,99999
"814","Lakeville","MN","KLVN",44.63,-93.23,378,99999
"815","Minneapolis Crystal","MN","KMIC",45.07,-93.35,265,99999
"816","Jackson","MN","KMJQ",43.65,-94.98,441,99999
"817","Madison","MN","KDXX",44.99,-96.18,330,99999
"818","Mankato","MN","KMKT",44.22,-93.92,311,99999
"819","Marshall","MN","KMML",44.45,-95.82,359,99999
"820","Morris","MN","KMOX",45.57,-95.97,344,99999
"821","Minneapolis","MN","KMSP",44.88,-93.22,255,72658
"822","Montevideo","MN","KMVE",44.97,-95.72,315,99999
"823","Winona","MN","KONA",44.08,-91.7,200,99999
"824","Worthington","MN","KOTG",43.65,-95.58,480,99999
"825","Owatonna","MN","KOWA",44.12,-93.25,350,99999
"826","Park Rapids","MN","KPKD",46.9,-95.07,440,99999
"827","Pipestone","MN","KPQN",43.98,-96.32,529,99999
"828","Red Wing","MN","KRGK",44.58,-92.48,239,99999
"829","Roseau","MN","KROX",48.85,-95.7,323,99999
"830","Rochester","MN","KRST",43.92,-92.5,402,72644
"831","Redwood Falls","MN","KRWF",44.55,-95.08,312,99999
"832","St. Cloud","MN","KSTC",45.55,-94.07,312,72655
"833","St. Paul","MN","KSTP",44.95,-93.07,209,99999
"834","Thief River Falls","MN","KTVF",48.07,-96.18,340,99999
"835","Two Harbors","MN","KTWM",47.05,-91.75,328,99999
"836","New Ulm","MN","KULM",44.32,-94.5,308,99999
"837","Kaiser","MO","KAIZ",38.1,-92.55,265,99999
"838","Cape Girardeau","MO","KCGI",37.23,-89.57,104,99999
"839","Columbia","MO","KCOU",38.82,-92.22,274,72445
"840","Sedalia","MO","KDMO",38.72,-93.17,274,99999
"841","Farmington","MO","KFAM",37.77,-90.44,288,99999
"842","Kirksville","MO","KIRK",40.1,-92.55,294,99999
"843","Jefferson City","MO","KJEF",38.58,-92.15,167,99999
"844","Joplin","MO","KJLN",37.15,-94.5,299,99999
"845","Kansas City International","MO","KMCI",39.32,-94.72,312,72446
"846","Kansas City","MO","KMKC",39.12,-94.6,231,99999
"847","Poplar Bluff","MO","KPOF",36.77,-90.32,100,72330
"848","Springfield","MO","KSGF",37.23,-93.38,387,72440
"849","St. Charles","MO","KSET",38.93,-90.43,133,99999
"850","St. Joseph","MO","KSTJ",39.77,-94.92,249,72449
"851","St. Louis","MO","KSTL",38.75,-90.37,172,72434
"852","Spirit of St Louis","MO","KSUS",38.67,-90.65,141,99999
"853","Whiteman AFB","MO","KSZL",38.73,-93.55,265,99999
"854","Fort Leonard Wood","MO","KTBN",37.73,-92.13,353,99999
"855","Rolla","MO","KVIH",38.13,-91.77,350,99999
"856","West Plains","MO","KUNO",36.88,-91.9,483,99999
"857","Chillicothe","MO","KCDJ",39.82,-93.58,234,99999
"858","Clarksdale","MS","KCKM",34.3,-90.51,53,99999
"859","Bay St Louis","MS","KHSA",30.37,-89.45,7,99999
"860","Olive Branch","MS","KOLV",34.99,-89.78,122,99999
"861","Jackson Hawkins Field","MS","KHKS",32.33,-90.22,104,99999
"862","Hattiesburg","MS","KHBG",31.27,-89.25,46,99999
"863","Oxford","MS","KUOX",34.38,-89.53,138,99999
"864","Biloxi","MS","KBIX",30.42,-88.92,10,99999
"865","Columbus AFB","MS","KCBM",33.65,-88.45,67,99999
"866","Greenville","MS","KGLH",33.48,-90.98,40,99999
"867","Gulfport","MS","KGPT",30.4,-89.07,9,99999
"868","Golden Triangle","MS","KGTR",33.45,-88.58,80,99999
"869","Greenwood","MS","KGWO",33.5,-90.08,47,99999
"870","Natchez","MS","KHEZ",31.62,-91.3,83,99999
"871","Jackson","MS","KJAN",32.32,-90.08,101,72235
"872","McComb","MS","KMCB",31.18,-90.47,126,99999
"873","Meridian","MS","KMEI",32.33,-88.75,94,72234
"874","Meridian NAS","MS","KNMM",32.55,-88.57,97,99999
"875","Pascagoula","MS","KPQL",30.46,-88.53,5,99999
"876","Pine Belt","MS","KPIB",31.47,-89.33,91,99999
"877","Tupelo","MS","KTUP",34.27,-88.77,110,72332
"878","Vicksburg","MS","KTVR",32.35,-91.03,25,99999
"879","Browning","MT","K8S0",48.6,-113.1,1458,99999
"880","Drummond","MT","K3DU",46.67,-113.15,1202,99999
"881","Baker","MT","KBHK",46.35,-104.26,906,99999
"882","Harlowton","MT","K3HT",46.43,-109.83,1268,99999
"883","Thompson Falls","MT","K3TH",47.6,-115.37,725,99999
"884","Billings","MT","KBIL",45.82,-108.61,2189,72677
"885","Butte","MT","KBTM",45.95,-112.5,1690,99999
"886","Bozeman","MT","KBZN",45.78,-111.15,1364,99999
"887","Cut Bank","MT","KCTB",48.6,-112.37,1175,99999
"888","Dillon","MT","KDLN",45.25,-112.55,1597,99999
"889","Kalispell","MT","KFCA",48.3,-114.27,906,72779
